"atlassian_light_token_cleaned","atlassian_value","atlassian_type","atlassian_description"
"ds-background-accent-gray-subtlest-pressed","#B3B9C4","color",
"ds-background-accent-gray-subtler","#DCDFE4","color",
"ds-background-accent-gray-subtler-hovered","#B3B9C4","color",
"ds-background-accent-gray-subtler-pressed","#8590A2","color",
"ds-background-accent-gray-subtle","#8590A2","color",
"ds-background-accent-gray-subtle-hovered","#B3B9C4","color",
"ds-background-accent-gray-subtle-pressed","#DCDFE4","color",
"ds-background-accent-gray-bolder","#626F86","color",
"ds-background-accent-gray-bolder-hovered","#44546F","color",
"ds-background-accent-gray-bolder-pressed","#2C3E5D","color",
"ds-background-disabled","#091E4208","color",
"ds-background-input","#FFFFFF","color",
"ds-background-input-hovered","#F7F8F9","color",
"ds-background-input-pressed","#FFFFFF","color",
"ds-background-inverse-subtle","#00000029","color",
"ds-background-inverse-subtle-hovered","#0000003D","color",
"ds-background-inverse-subtle-pressed","#00000052","color",
"ds-background-neutral","#091E420F","color",
"ds-background-neutral-hovered","#091E4224","color",
"ds-background-neutral-pressed","#091E424F","color",
"ds-background-neutral-subtle","#00000000","color",
"ds-background-neutral-subtle-hovered","#091E420F","color",
"ds-background-neutral-subtle-pressed","#091E4224","color",
"ds-background-neutral-bold","#44546F","color",
"ds-background-neutral-bold-hovered","#2C3E5D","color",
"ds-background-neutral-bold-pressed","#172B4D","color",
"ds-background-selected","#E9F2FF","color",
"ds-background-selected-hovered","#CCE0FF","color",
"ds-background-selected-pressed","#85B8FF","color",
"ds-background-selected-bold","#0C66E4","color",
"ds-background-selected-bold-hovered","#0055CC","color",
"ds-background-selected-bold-pressed","#09326C","color",
"ds-background-brand-subtlest","#E9F2FF","color",
"ds-background-brand-subtlest-hovered","#CCE0FF","color",
"ds-background-brand-subtlest-pressed","#85B8FF","color",
"ds-background-brand-bold","#0C66E4","color",
"ds-background-brand-bold-hovered","#0055CC","color",
"ds-background-brand-bold-pressed","#09326C","color",
"ds-background-brand-boldest","#1C2B41","color",
"ds-background-brand-boldest-hovered","#09326C","color",
"ds-background-brand-boldest-pressed","#0055CC","color",
"ds-background-danger","#FFECEB","color",
"ds-background-danger-hovered","#FFD5D2","color",
"ds-background-danger-pressed","#FD9891","color",
"ds-background-danger-bold","#C9372C","color",
"ds-background-danger-bold-hovered","#AE2E24","color",
"ds-background-danger-bold-pressed","#5D1F1A","color",
"ds-background-warning","#FFF7D6","color",
"ds-background-warning-hovered","#F8E6A0","color",
"ds-background-warning-pressed","#F5CD47","color",
"ds-background-warning-bold","#F5CD47","color",
"ds-background-warning-bold-hovered","#E2B203","color",
"ds-background-warning-bold-pressed","#CF9F02","color",
"ds-background-success","#DCFFF1","color",
"ds-background-success-hovered","#BAF3DB","color",
"ds-background-success-pressed","#7EE2B8","color",
"ds-background-success-bold","#1F845A","color",
"ds-background-success-bold-hovered","#216E4E","color",
"ds-background-success-bold-pressed","#164B35","color",
"ds-background-discovery","#F3F0FF","color",
"ds-background-discovery-hovered","#DFD8FD","color",
"ds-background-discovery-pressed","#B8ACF6","color",
"ds-background-discovery-bold","#6E5DC6","color",
"ds-background-discovery-bold-hovered","#5E4DB2","color",
"ds-background-discovery-bold-pressed","#352C63","color",
"ds-background-information","#E9F2FF","color",
"ds-background-information-hovered","#CCE0FF","color",
"ds-background-information-pressed","#85B8FF","color",
"ds-background-information-bold","#0C66E4","color",
"ds-background-information-bold-hovered","#0055CC","color",
"ds-background-information-bold-pressed","#09326C","color",
"ds-blanket","#091E427D","color",
"ds-blanket-selected","#388BFF14","color",
"ds-blanket-danger","#EF5C4814","color",
"ds-interaction-hovered","#00000029","color",
"ds-interaction-pressed","#00000052","color",
"ds-skeleton","#091E420F","color",
"ds-skeleton-subtle","#091E4208","color",
"ds-chart-categorical-1","#2898BD","color",
"ds-chart-categorical-1-hovered","#227D9B","color",
"ds-chart-categorical-2","#5E4DB2","color",
"ds-chart-categorical-2-hovered","#352C63","color",
"ds-chart-categorical-3","#E56910","color",
"ds-chart-categorical-3-hovered","#C25100","color",
"ds-chart-categorical-4","#943D73","color",
"ds-chart-categorical-4-hovered","#50253F","color",
"ds-chart-categorical-5","#09326C","color",
"ds-chart-categorical-5-hovered","#1C2B41","color",
"ds-chart-categorical-6","#8F7EE7","color",
"ds-chart-categorical-6-hovered","#8270DB","color",
"ds-chart-categorical-7","#50253F","color",
"ds-chart-categorical-7-hovered","#3D2232","color",
"ds-chart-categorical-8","#A54800","color",
"ds-chart-categorical-8-hovered","#702E00","color",
"ds-chart-lime-bold","#6A9A23","color",
"ds-chart-lime-bold-hovered","#5B7F24","color",
"ds-chart-lime-bolder","#5B7F24","color",
"ds-chart-lime-bolder-hovered","#4C6B1F","color",
"ds-chart-lime-boldest","#4C6B1F","color",
"ds-chart-lime-boldest-hovered","#37471F","color",
"ds-chart-neutral","#8590A2","color",
"ds-chart-neutral-hovered","#758195","color",
"ds-chart-red-bold","#F15B50","color",
"ds-chart-red-bold-hovered","#E2483D","color",
"ds-chart-red-bolder","#E2483D","color",
"ds-chart-red-bolder-hovered","#C9372C","color",
"ds-chart-red-boldest","#AE2E24","color",
"ds-chart-red-boldest-hovered","#5D1F1A","color",
"ds-chart-orange-bold","#E56910","color",
"ds-chart-orange-bold-hovered","#C25100","color",
"ds-chart-orange-bolder","#C25100","color",
"ds-chart-orange-bolder-hovered","#A54800","color",
"ds-chart-orange-boldest","#A54800","color",
"ds-chart-orange-boldest-hovered","#702E00","color",
"ds-chart-yellow-bold","#B38600","color",
"ds-chart-yellow-bold-hovered","#946F00","color",
"ds-chart-yellow-bolder","#946F00","color",
"ds-chart-yellow-bolder-hovered","#7F5F01","color",
"ds-chart-yellow-boldest","#7F5F01","color",
"ds-chart-yellow-boldest-hovered","#533F04","color",
"ds-chart-green-bold","#22A06B","color",
"ds-chart-green-bold-hovered","#1F845A","color",
"ds-chart-green-bolder","#1F845A","color",
"ds-chart-green-bolder-hovered","#216E4E","color",
"ds-chart-green-boldest","#216E4E","color",
"ds-chart-green-boldest-hovered","#164B35","color",
"ds-chart-teal-bold","#2898BD","color",
"ds-chart-teal-bold-hovered","#227D9B","color",
"ds-chart-teal-bolder","#227D9B","color",
"ds-chart-teal-bolder-hovered","#206A83","color",
"ds-chart-teal-boldest","#206A83","color",
"ds-chart-teal-boldest-hovered","#164555","color",
"ds-chart-blue-bold","#388BFF","color",
"ds-chart-blue-bold-hovered","#1D7AFC","color",
"ds-chart-blue-bolder","#1D7AFC","color",
"ds-chart-blue-bolder-hovered","#0C66E4","color",
"ds-chart-blue-boldest","#0055CC","color",
"ds-chart-blue-boldest-hovered","#09326C","color",
"ds-chart-purple-bold","#8F7EE7","color",
"ds-chart-purple-bold-hovered","#8270DB","color",
"ds-chart-purple-bolder","#8270DB","color",
"ds-chart-purple-bolder-hovered","#6E5DC6","color",
"ds-chart-purple-boldest","#5E4DB2","color",
"ds-chart-purple-boldest-hovered","#352C63","color",
"ds-chart-magenta-bold","#DA62AC","color",
"ds-chart-magenta-bold-hovered","#CD519D","color",
"ds-chart-magenta-bolder","#CD519D","color",
"ds-chart-magenta-bolder-hovered","#AE4787","color",
"ds-chart-magenta-boldest","#943D73","color",
"ds-chart-magenta-boldest-hovered","#50253F","color",
"ds-chart-gray-bold","#8590A2","color",
"ds-chart-gray-bold-hovered","#758195","color",
"ds-chart-gray-bolder","#758195","color",
"ds-chart-gray-bolder-hovered","#626F86","color",
"ds-chart-gray-boldest","#44546F","color",
"ds-chart-gray-boldest-hovered","#2C3E5D","color",
"ds-chart-brand","#1D7AFC","color",
"ds-chart-brand-hovered","#0C66E4","color",
"ds-chart-danger","#F15B50","color",
"ds-chart-danger-hovered","#E2483D","color",
"ds-chart-danger-bold","#AE2E24","color",
"ds-chart-danger-bold-hovered","#5D1F1A","color",
"ds-chart-warning","#B38600","color",
"ds-chart-warning-hovered","#946F00","color",
"ds-chart-warning-bold","#7F5F01","color",
"ds-chart-warning-bold-hovered","#533F04","color",
"ds-chart-success","#22A06B","color",
"ds-chart-success-hovered","#1F845A","color",
"ds-chart-success-bold","#216E4E","color",
"ds-chart-success-bold-hovered","#164B35","color",
"ds-chart-discovery","#8F7EE7","color",
"ds-chart-discovery-hovered","#8270DB","color",
"ds-chart-discovery-bold","#5E4DB2","color",
"ds-chart-discovery-bold-hovered","#352C63","color",
"ds-chart-information","#388BFF","color",
"ds-chart-information-hovered","#1D7AFC","color",
"ds-chart-information-bold","#0055CC","color",
"ds-chart-information-bold-hovered","#09326C","color",
"ds-surface","#FFFFFF","color",
"ds-surface-hovered","#F1F2F4","color",
"ds-surface-pressed","#DCDFE4","color",
"ds-surface-overlay","#FFFFFF","color",
"ds-surface-overlay-hovered","#F1F2F4","color",
"ds-surface-overlay-pressed","#DCDFE4","color",
"ds-surface-raised","#FFFFFF","color",
"ds-surface-raised-hovered","#F1F2F4","color",
"ds-surface-raised-pressed","#DCDFE4","color",
"ds-surface-sunken","#F7F8F9","color",
"ds-shadow-overflow","[{""x"":""0px"",""y"":""0px"",""blur"":""8px"",""spread"":""0px"",""color"":""#091E4229"",""type"":""dropShadow""},{""x"":""0px"",""y"":""0px"",""blur"":""1px"",""spread"":""0px"",""color"":""#091E421F"",""type"":""dropShadow""}]","boxShadow",
"ds-shadow-overflow-perimeter","#091e421f","color",
"ds-shadow-overflow-spread","#091e4229","color",
"ds-shadow-overlay","[{""x"":""0px"",""y"":""8px"",""blur"":""12px"",""spread"":""0px"",""color"":""#091E4226"",""type"":""dropShadow""},{""x"":""0px"",""y"":""0px"",""blur"":""1px"",""spread"":""0px"",""color"":""#091E424F"",""type"":""dropShadow""}]","boxShadow",
"ds-shadow-raised","[{""x"":""0px"",""y"":""1px"",""blur"":""1px"",""spread"":""0px"",""color"":""#091E4240"",""type"":""dropShadow""},{""x"":""0px"",""y"":""0px"",""blur"":""1px"",""spread"":""0px"",""color"":""#091E424F"",""type"":""dropShadow""}]","boxShadow",
"ds-opacity-disabled","0.4","opacity",
"ds-opacity-loading","0.2","opacity",
"ds-elevation-surface-current","#FFFFFF","color",
"ds-border-radius-050","3px","borderRadius",
"ds-border-radius","0.25rem","borderRadius",
"ds-border-radius-100","4px","borderRadius",
"ds-border-radius-200","6px","borderRadius",
"ds-border-radius-300","8px","borderRadius",
"ds-border-radius-400","16px","borderRadius",
"ds-border-radius-circle","2002rem","borderRadius",
"ds-border-width","0.0625rem","borderWidth",
"ds-border-width-0","0rem","borderWidth",
"ds-border-width-indicator","0.1875rem","borderWidth",
"ds-border-width-outline","0.125rem","borderWidth",
"ds-space-0","0rem","spacing",
"ds-space-025","0.125rem","spacing",
"ds-space-050","0.25rem","spacing",
"ds-space-075","0.375rem","spacing",
"ds-space-100","0.5rem","spacing",
"ds-space-150","0.75rem","spacing",
"ds-space-200","1rem","spacing",
"ds-space-250","1.25rem","spacing",
"ds-space-300","1.5rem","spacing",
"ds-space-400","2rem","spacing",
"ds-space-500","2.5rem","spacing",
"ds-space-600","3rem","spacing",
"ds-space-800","4rem","spacing",
"ds-space-1000","5rem","spacing",
"ds-space-negative-025","-0.125rem","spacing",
"ds-space-negative-050","-0.25rem","spacing",
"ds-space-negative-075","-0.375rem","spacing",
"ds-space-negative-100","-0.5rem","spacing",
"ds-space-negative-150","-0.75rem","spacing",
"ds-space-negative-200","-1rem","spacing",
"ds-space-negative-250","-1.25rem","spacing",
"ds-space-negative-300","-1.5rem","spacing",
"ds-space-negative-400","-2rem","spacing",
"ds-font-heading-xxlarge","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""2rem"",""lineHeight"":""2.25rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-xlarge","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""1.75rem"",""lineHeight"":""2rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-large","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""1.5rem"",""lineHeight"":""1.75rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-medium","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""1.25rem"",""lineHeight"":""1.5rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-small","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""1rem"",""lineHeight"":""1.25rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-xsmall","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""0.875rem"",""lineHeight"":""1rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-heading-xxsmall","{""fontStyle"":""normal"",""fontWeight"":""700"",""fontSize"":""0.75rem"",""lineHeight"":""1rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
